all_text,overall
great micro sd cardive been trying for a while to get a hold of a 32gb micro sd for my phone and tablet it is pretty fast compared to the 16gb cards i have been using i really saw the performance boost with my phone which i have many applications pictures music and other documents on the phone boots fully stable in about 2 mins as apposed to 56 mins my computer also can write to these cards much faster than the 16gb ones i was using if you phone tablet or any other device can support it i recommend you purchase these also you pay like half the price using amazon as opposed to other retail stores whos price is at least double or more i have seen these same cards going for about 72 in my area,5.0
bought 2 diedi bought 2 of those sandisk 32 gb microsd used them on my galaxy note and galaxy s4first one my phone started saying it was removed then recognize it again then diedi thought it is just a luck plugged in the 2nd one stayed for about 2 months and died suddenly and lost everythingnever buying from sandisk again ever,1.0
excellent productthe memory card is an excellent condition and work as described dependable and easy to use an excellent choice for the enthusiast who requires more storage,4.0
several sizes zero issuesi have got a couple of these in varying sizes i have had no problems and no complaints about speed i always end up buying more because the prices are so low for what you get,5.0
great cardi only had 8 gigs of memory on my note 2 and was running out of room now i have so much memory space available i do not know what to do with it,5.0
works greatbought it for my surface pro i have had it in there for a few months and i have had no problems very fast and stable,5.0
100 satisfied recommend to alli would recommend this card to everyonedata transfer speeds excellent with this card on my galaxy s2 did not need to format the card or anything i am 100 satisfied,5.0
stop working after 1 yeari bougth this micro sd card after some trubles with other that i got from kingston i can tell that sandisk is other quality this is the best my i9300 phone can read a 64gb very fast the dta transfer speed from my pc to my is amazing if you are looking for additional storage to you phone for music pictures and other type of files this is for youprosvery good quality materials of constructionamazing speedupdate after one year this memory is damaged i can not delete or put new files on it i can not format this memory i tried to format with my phone with my pc with a camera and nothing now this is like a 64gb cd the data in the memory is only available to read but i can not move or delete it i bought this memory to be used to backup all my data of my android device but now is only a readable memory i can not write data on it any more i hope sandisk make a better products in the future total disagree i will buy a samsung memory card expected a better quality,1.0
crazy fastusing this in a contout global positioning system camera do not waste your time buying any other brand it will be a waste buy the best to start with,5.0
this is a fantastic little drivethis is a fantastic little drive has all the gigabytes it says works in all ways i can discern and i use it to hold the flac recordings i play on my excellent fiio x5 digital audio player this is the real thing and not one of the fakes that evidently are out there,5.0
verry happyi am very happy with this micro sd i could tell the difference in the response time in my bed and breakfast curve as well as my asus tablet if you want something that can transfer files photos videos and music faster this is the micro sd card for you now i will say this there are faster cards out there but not at this price this does the trick for my devices now it you are a professional photographer you might want to go with the ultra 3 micro sd but if you are an everyday user this will work wonders for you device,5.0
sandisk qualityive purchased several of these little babies over the years and i always buy sandisk i have never had one fail the price is great for the amount of storage you get,5.0
beware goes bad and takes your pics with itordered this for a galaxy s3 lasted a few months and then broke is not accessible on several different pcssays limited lifetime warranty bs you have one month for eco zone not only did i lose pictures but now i am out because of a crappy return policyin the future i will be buying kingston not sandiskupdate amazon customer service made good and refunded my purchase price i still will not be buying any more sandisk memory cards however,1.0
not badmore like 8mbs in my note 101 and that is using sandisks own application a bit faster in my note ii but still a disappointment for devices with quad core processors not sure if it is the card or the device so benefit of the doubt and four stars,4.0
goodnot much to say other than plug and play good quality and fits a lot of video good good good,5.0
fast very fasta new camcorder required fast sd micro and sandisk products have always provided first class service so the extra cost is well worth it,5.0
very small huge capacitythis tiny marvel does what it claims the only possible problem is that it is so small that you may lose it if you happen to drop it during handling but with 16 gb capacity you would not be handling it often,5.0
works greatit does the job and the price was right it came quickly so i am very happy for the purchase i would recommend it and would but it again,5.0
worked for a few monthsi used this for a few months in my phone then it decided to quit mounting i lost some pictures of pets who died shortly after i got a replacement card but i had to send in the old one giving up any chance of recovering its contents the new ones worked fine but failing after 3 months in inexcusable,2.0
it works what else is therea memory card either works or it does not this was always going to be a one star or five star review no middle groundthe adapter is a nice bonus too though i do not think i have anything to use it with,5.0
great microsdhc cardi purchased this card to use in my contourroam2 and it works great all i had to do was put the card in the camera format it and i was good to go it allows me to easily record hours of 720p60fps video without running out of space or slowing down,5.0
works fine in my galaxy note phone from attupgraded from 32gb to 64gb card for my galaxy note phone looks like it works fine and has full capacity good product,5.0
great buteverything about it was great except for the adapter it was to tight i had to use a tool to take it back out of the adapter causing me to chip it so my fault i guess but i also bought a 16gb version and the adapter for that one was fine,4.0
fast reliable compatible buy it direct from amazon or memory mogul to avoid counterfeitsliked the first one i purchased so much i bought a second one very very fast read and write speeds at a good price plus sandisk has the best software and device compatibility forget thumb drives this is your most flexible durable option use direct in your tablet or smart phone andor buy a decent usb card reader you can load this in and voila instant superspeedy upgradeable thumb drive works great in my tablet and in my newer card reader and still kicks the butt of every thumb drive i know of even when used with my old plastic usb 20 card reader held together with scotch tape laughing out loud have purchased several microsd cards since they first came out from 2gb to 32gb and all still work fine i cannot say the same re the thumb drives i purchased during that same time periodone point beware of counterfeits samsung is the number one brand so unfortunately they get counterfeited a lot so check reviews and only buy from a reliable seller i suggest buying direct from amazon or memory mogul i have purchased from both with no issues,5.0
works as advertised with no problems whatsoeverreally you cannot say anything bad about it does what it says super fast and great storage size for lots of movies and such,5.0
works just like it should in my phoneused in my phone it is plenty fast and works just like it should unexpectedly comes with mini and full sd card size adapters which is nice foolproof packaging or whatever it was that was laughable packaging was decent it just should not have bragged about being impossible to mess up when i messed it up,4.0
just the standard micro sdthis is just the standard micro sd card i would recommend this to anyone i purchased this for my dad who is using it to expand the memory on his tablet it shipped fast and is a slight bit cheaper than in the stores i believe,5.0
awesome micro sd card for smartphonei ordered this for my new samsung galaxy note ii and it works awesome installed it and had no problems i loaded all my music on it and did not even scratch the surface of the capacity of this card i should not ever have to worry about running outta room with this card highly recommended for any smartphone user,5.0
awesomegreat deal and much faster file movementdefinitely worth the purchase and sandisk has proved why they have good products,5.0
great product at a great priceyoull pay 10 more for these anywhere else i was initially leery of buying another sd card on amazon 4 years ago i did so and the card was a fake said it had 32 gigs when plugged into the computer but you could only load about 11 onto it and it would say full apparently there is a way to fool your computer into thinking there is more space than there is and this is what the fakecounterfeit cards will donot so with this one it is the real deal genuine sandisk and contains as many gb as it says it does i am a very pleased customer,5.0
works well with samsung galaxy s4use this in my samsung galaxy s4 have had it for almost a year now no problems really expands your memory capabilities easy enough to install,5.0
cheap and awesome32gb of storage for my new asus tablet whats not to love i cannot imagine paying more for the model with the upgraded storage especially since it is usually like 100 more this thing was cheap and works great,5.0
excellent quality excellent speedexcellent quality excellent speed no complaints here very easy to use reliable and the red stripe on the front makes it easy to find on a crowded desk,5.0
only capable of doing ddr50sdr50 maxthis card advertises itself as uhs1 but it is actually uhs50this means that it will not go up to sdr104 speedsthroughputnot necessary bad just false advertising,3.0
horsepower tablet usepurchase for horsepower tablet to have more memory for music download pictures and video have enough room to store and some memory left over,5.0
love itcan there be anything wrong with a sandisk product the items read to it so quickly i am quite happy,5.0
great memory carda lot of people want big memory which is fine but you need to look at speed class this one is class 10 which is great when your taking pictures or video it will not freeze because it can move the mbs fast enough lesser speed cards will freeze or will say waiting for camera and you will miss the moment its also a sandisk which is a name you can trust when it come to memory cards,5.0
fast transfer ratesfast transfer rates i downloaded about 2gb of videos form the card to my laptop through a card reader all in about a minute,5.0
it works like all sandisk memory productsthere is something to be said about sandisk you plug it in and it just works i have never had one be doa or any memory issues throughout the years both for my camera and storage products i installed this in my galaxy si and it recognized it right away and i was able to dump my music onto it speed seems great as well no complaints,5.0
good price great producthow do i praise extra memory it fills my mp3 player with every song my heart desires the sound quality is perfect the ease of use is superb it is great,5.0
just as describedall though it states 16gig it only has 148gig available but i know that happens and expected it keep this in mind if your wanting more storage you might want to order the 32gig card it was exactly what i expected and needed so no complaints,5.0
does the jobdoes the job as advertisedif you need extra memory on your phonetablet or whatever device this is bext buypricequality,5.0
sandiskneeded for my cell phone works perfectly sandisk has never been a disappointment in the 30 plus years i have been in itcomputer work,5.0
good dealpriced right this memory card also reads and writes fast it is a noticeable difference over cheaper cards i put it in my phone and plan to buy another one for my tablet,5.0
works great with htc evo 4g lteworks great on my sprint htc evo 4g lte formatted w fat32 so of course the maximum file size is 4gb meaning no full length hidef movies however this is not a problem i bought the card for putting a music library on my phonelike all class 10 microsdhc cards it does not do 10mbs but it is closer than any other class 10 card i have ever tried most do 34mbs kingston 32gb did 7mbs this card does about 89mbscannot wait till 128gb and 256gb cards become available and affordable,5.0
128 gb and 64 gb versions great but cannot confirm speed claims outside of the class ratingsupdate 62414my 128 gb card stopped allowing writes via any of my cardreaders on a windows pceither when it was inside any of several fullsize sd card adapters with the writeprotect tab in either position or plugged directly into the microsd slot of the reader microsd cards have no writeprotect tab so i was quite surprised and worried by this after failing to find any workable solution by searching online i finally put it in my chromebook and created a new folder on it there then stuck it back in my windows pc and it no longer gave me a writeprotect error if anyone has a similar problem i would recommend doing something similar by putting it in any other pc laptop camera and so on you have available and try writing to it therethis portion of my review is necessarily being written as an update to my original review of the 64 gb version of this card since amazon disallows multiple reviews for what they consider the same item this portion concerns the 128 gb version of this cardi do not need a fast card so the speeds on this card were not that important besides which my test pc is not exactly highend therefore i did not count off for the speed results i got below using a usb 20 card adapter but i thought they might be relevant to some readers while the card did reach the class10 andor uhsi requirements it came in at under 23 of the claimed read speeds up to 30 mbs for fast file transfer then again running on a second pc using a different usb 20 card reader none of the speeds even hit 5 mbs so this seems to be highly systemdependenti only just got the card this week and so far it works on select sdxccompatible devices and exfatcompatible operating systems some sdxccompatible devices such as the panasonic hdctm40 do not allow cards larger than 64 gb for whatever reason this was stated in the manual and i have confirmed this card is recognized as brokencorruptunusable in that device whereas 64 gb exfat cards work fine the 128 gb works fine with original exfat formatting in my toshiba excite 77 android tablet and predictably not at all in my nonsdxccompatible galaxy note 2 though it possibly would if reformatted to fat32 since a 64 gb card in fat32 works fine therei will update my review to reflect any problems issues and so on that i notice in the coming days weekscrystaldiskmark 303 c 20072013 hiyohiyocrystal dew world url removed as per amazon rules mbs 10 bytes sata300 30 bytessequential read 18694 mbssequential write 11921 mbsrandom read 512kb 18502 mbsrandom write 512kb 0680 mbsrandom read 4kb qd1 39 mbs 8151 iopsrandom write 4kb qd1 1581 mbs 3861 iopsrandom read 4kb qd32 3151 mbs 7694 iopsrandom write 4kb qd32 1564 mbs 3818 iopstest 10 mb g 00 001191 gb x5date 20140424 165349os windows xp professional sp3 51 build 2600 x86the following is my original review of the 64 gb version of this card published april 24 2013this is a highquality card i have used it in a variety of devices through multiple readers on different pcs in an hd camcorder using a micro to fullsized sd adapter and i have never once had a problem with it it even works at full capacity in some microsdhconly devices once its reformatted to fat32 such as my sandisk clip flac player and supposedly even psps via a proper adapter though i have not yet tested my psp i keep anticipating someone coming out with a card with equal or better capacity and speeds at a comparable price but i have not seen one yet if these were cheaper i would have several by nowmake sure your device can handle micro or fullsized sdxc cards or is one of those rare gems that state they support only as high as sdhc but have been tested to work with sdxc cards such as this one once they have been manually reformatted to fat32,5.0
worksworks great in the phone and the wife loves it we got a second for her mom and she is storing lots of pictures and videos on it,5.0
fast and dependablei loaded this card up with home movies for my samsung galaxy tab 2 the copy process from computer to card was fast there are no skips in the movie quality and i have plenty of room left to go wish i had bought another for more collections,5.0
great for movies on the gobought this for my s3 and loaded it with 4 seasons of futurama 5 full length hd movies several documentaries and a dozen or so 30 minute comedy shows with plenty of room left over for pictures and so ononly slight nitpick is when booting up into recovery mode on the s3 it will not recognize the card wanted to update the phone to the latest version of android and it would not see it had to resort to a 2gb microsd i had laying around that was not a sd card issue but i thought i would throw that in,5.0
great storage mediai purchased this after my wife and i bought our samsung galaxy s4 to store all the music pictures and videos the s4 camera is capable of capturing 16megapixels photos so the 16gb microsd that i had will not suffice as a matter of fact i have already exhausted the remaining space on the card so this 64gb will allow me to take more photos of our son,5.0
good reliable storage for my galaxy s4great storage has not failed yet after about a year of usage,5.0
wife is using no complaintssince the wife is using it and it is not causing any problems then it must be functioning normally looks good so far,5.0
fast and full of empty spaceclass 10 speeds are the only way to fly and with 2971gb of usable space i think i should be good for a while,5.0
great price good speed reliablethe subject says it all does what it is supposed to do at a great price when it is on sale buy it,5.0
works ok with the samsung galaxy tab 3 101lot of questions about this memory card fitting the samsung galaxy tab 3 101 tablet it fits and works no problem at all the only thing is that after installing instead of showing 64gb available it only shows 59gbtried formatting the card but with same resultshave no idea if this is a limit set by the the galaxy tab 3 tablet or is it just normal to buy 64gb and get less than thatas this is surely not a problem coming from the sandisk memory card my rating is a 5star excellent price works great and very quick delivery,5.0
samsung galaxy tab 3 101when it comes to any kind of flash storage sandisk has always been my go to brand because they sell quality items and stand by them if there is a problem so as usual no complaints here it works as descried and i have not have any issues both read and write speeds are right where the specs say they should be,5.0
great performancehigh speed high capacity of storage great durability i use in my phone and in my digital camera work very good,5.0
very usefulthis memory helps me to keep all what i want to keep on my cell phoneit is a good brand and its on the right price,5.0
class does not really matter at least for android phonesi bought this sd card for my android phone thinking that a class 10 will be faster and more reliable than others it turns out the difference in class does not really matter at least for android phones did not really worth the price difference,4.0
great productthe sandisk 32gb micro sd class 10 is a reliable sd card with amazing transfer speeds there is no noticeable lag transfering even the largest raw images to it had not had any problem with it,5.0
goodgood card work as describes have not had any issue with it or going pass metal detectors no lost files or missing files,4.0
good cheap cardbought this to store music on my phone works flawlessly after three months so far no problemsin my card reader i average 68 megabytes read and write to it,5.0
very fast class 10 card and excellent service from amazonim amazed i ordered this from amazon on tuesday morning and it arrived with wednesdays mail very impressive service from amazonas has already been reported the card formats out to 59 gb and it performs perfectly in my samsung galaxy s i which is also new using two card readers on a fast pc i transferred everything from my old 16gb card to the new 64 gb card in less time than it took to walk to the kitchen and get a cup of coffee so i think the class 10 rating is correct on the cardonce i have some experience with the card in the phone i will benchmark the card and i will also benchmark operations such as internally backing up my android phone to the card then i will update this review with some accurate numerical data but in the mean time on first look the person who said that the s 3 has problems with anything faster than class 6 may not have been correct a full backup of the phone to the card was significantly faster than the backup with the old 16gb class 6 card again no benchmarks yet but once i have them i will include them hereright now i am very happy with this card and i am really impressed both with the card and with the unbelievably quick service from amazon and i am in atlanta where shipments like this one often take the full 3 days to arrive,5.0
greatexcellent one of the best cannot go wrong with this card class 10 is necessary and shows noticeable but not significant improvements over class 4,5.0
great quality plenty of memoryi bought the 64gb microsd card at best buy because i needed one for my microsoft surface pro it provides all the space i need and for people who need a lot of space videos quick books picture editing games and so on this card is the one for you if you do not need that much space consider buying one for cheaper with a little less memorynote be aware that this is a microsdxc format card while most new computers support this format many of the older computers do not this includes all but a few tablets and smartphones before buying this make sure your computer tablet or smartphone is compatible if it is not it will not work period for others who claim that the card does not work no matter what they try chances are their machine cannot support microsdxc format,5.0
fantastici got this because i just could not pass up the deal 1799 it has been incredibly fast in my htc sensation 4g pictures are taken and saved instantaneously only had it a few days but have been very happy shipping was fast and the packaging was easy to open which is always great in my book only issue i had was i had to format it on my computer first before my phone was able to recognize it,4.0
mucho storage poco priceyou get a lot of storage at a small price the micro sd with adapter class 10 so it is fast i am happy with this purchase and you will be too i hope this review is helpful,5.0
great item butuser instructions could be betterthe ultra micro sdhc was fine once i got it working neither the packaging nor the sansa clip player inform the user that the player needs to be totally off before the microcard is inserted if not the unit will not read the card otherwise love it and the storage for even 16 gb let alone 32 is tremendous,5.0
huge storagei upgraded to this after the price dropped i originally had a 16gig sandisk card and it was in my mytouch 4g i found toward my mytouch 4gs end of life that space is running low so when i got my galaxy s3 i bought this card it works flawlessly i highly recommend it now errors what so ever super fast transfer rate,5.0
sandisk micro sdthis item was priced right and fit right into my cell phone without any issues does what it is suppose to do and i do not know what else i could say being a class 10 it is suppose to be plenty fast for cell phone use which i am sure speeds up camera use to some degree has worked well and the shipping was fast,5.0
very fast and lots of storage with one catchi got this memory card for my samsung galaxy s3 i was running out of room on my sandisk 32gb class 4 micro sd card i also wanted a faster and more durable card i was hopping to put lots of media on it in addition to nandroid backups and custom roms i later found out that since this card is formatted in exfat it would not work to make nandroid backups or flash custom roms most custom recovery and custom roms dont work with exfat so my only choice was to format the card to fat 32 which meant i could not put any files larger than 4gb on it besides that this card is great and very reasonable price of 50 if your some one who does not root their phone or put custom roms nandroid backups or put files larger than 4gb than this will not affect you this memory card is fast and provides the most storage you can put on your mobile device at this time the card is also water proof shock proof and comes with lifetime warranty that is never had any issues with sandisk memory cards or usb flash drives they last a really long time,4.0
huge fastusing the included adaptor on my macbook pro to transfer files i was impressed with the speed of this card,5.0
works in my note igot this to store movies and music on my samsung note inot much to say about a memory card except that it works as expected,5.0
good for the moneyi purchased this version to expand memory on my 16gb android tablet nothing fancy but it does the job no problems and it played back flawlessly all the files i transferredthere are so many different microsd cards out now but if you see this on sale then you might want to consider it instead of cheaper noname brand,5.0
more memory than i thoughti have ordered other sd cards before but this one is the best overall shipping was excellent fast and reliable i would recommend it to anyone who is looking for a quality product thanks again,5.0
sandiski use this for my phone and it works just as it should and it was totally worth the money great place to store pictures and music for phones instead of using the phone memory so it will still run fast,5.0
fast but not with out headachsi bought two of these one for asus infinity and one for samsung galaxy s3 international version it worked fine with my asus but it did not work on my phone i formatted this card using the phonethe tablet and my laptop but did not work i did some tests with applications using some applications nothing showed its not working the only way i got it to work is by formatting it in my canon slr camera,4.0
painfully slowit works but the actual rw speeds are 188 mbs not even class 10 it should be marketed as sandisk basic not sandisk ultra unless they mean ultra slow now is 2014 and there is no excuse for such slow card from sandisk update i have redone the test with notepro 122 instead of using non uhsi pc and the latest results are 3286mbs since the read speed hits 30 i believe the device is dhsi ready still underwhelmed by the write speed though,2.0
sandisk ultra 32 gb microsdhc c10uhs1 memory card with adaptersandisk ultra 32 gb microsdhc c10uhs1 memory card with adaptersandisk ultra 32 gb microsdhc c10uhs1 memory card with adapterworks fine,4.0
fast tinygreat for adding a ton of storage to your smartphone or other device fast enough for most needs and the price is right,5.0
32gb sandisk ultra bargain buyyou cannot possibly go wrong with a san disc product although i purchased this for my son i have used san disc in the past and have never been disappointed,5.0
ok productdoes it is job and fairly cheap for what it is worth i had to return my first one and exchange it for another because the first one was defective sandisk really needs to do better quality assurance on their products the second one works perfectly fine i use it for my gopro camera,3.0
works greati bought this for my sons tablet for cartoon videos movies and all games he will be downloading he is under 5 yrs so they will be small simple games,4.0
samsung galaxy note i bought this for a friend of mine to put some videos on it initially when plugged into the computer we could not find the storage in the directory however after finding a micro sd to usb adapterbingo worked like a charm after that install the videos plugged the card in the phone and we were off to the racesnot sure if we needed the adapter but we could not get the computer to recognize it we also used a linux os go figure,5.0
great addition for samsung galaxy isthe sandisk ultra 64gb micro card is a great addition to maximize the samsung galaxy is whatever version you got 16gb or 32gb is a very fast memory at a great price plenty space for pictures videos and android applications good for the 1080 videos that the galaxy is use super fast if you got the most advanced smartphone in the market as i do this is the memory to get at the right price,5.0
fasti installed this on my samsung tablet tab 2 70 there is definitely a performance difference on my tablet especially when i load up all my applications,5.0
very nicethis memory works in samsung smartphones it is a fast memorysandisk is the most reliable memories in the market,5.0
great product great pricelove it good quality good performance great brand could not find better product for my money using it for a samsung galaxy s4 mini with zero complications,5.0
quick delivery exactly as orderedthis product arrived in two days prime it was exactly what i ordered and it works great in my galaxy s3 i know a class 10 is not exactly needed in a cell phone but it cannot hurt right i am very happy with this purchase,5.0
i upgrade to betteri expanded my samsung tab 101 tablet from 1gb to 32gb works fast and do not see any lags i can now store more than ten movies on my tab and play right of the flash disc with no problemsvery happy with this card,5.0
ready for use on the galaxy s3update providing an update with regard to sandisk supporti bought the memory card in aug 2012 see original review below in may of 2013 while on my cruise to alaska the card went bad during the sailing out of san francisco it was fine as i used it to take a panorama shot of the golden gate bridge for most of the cruise i was using my dslr but the next time i wanted to use my cell phone the phone told me i had no memory card loaded any way tested the card on my laptop when i got back and it could not recognize it i contacted sandisk via email and provide them copy of my receipt from amazon along with the serial number on the back of the card very hard to read and no problems they told me to send them back the card and they sent me a brand new card which is now still functioning in my cell phone great support provide by sandisk no hassle as long as you can provide proof of purchase easy to do since amazon keeps my entire purchase historyinvoices online one reason i buy directly from amazon itself vs other vendors either on amazon or elsewhere on the internet is that i have confidence that the memory cards sold by amazon itself are genuine there may be incredible deals elsewhere on the internet but in some cases the deals are too good to be true and counterfeit cards are being soldoriginal reviewjust received this today removed it from the packaging and inserted it into my samsung galaxy s3 verizon and powered the unit back up and the storage was available no formatting required worked the first time out settings showed 2971gb of total space 32gb version and 2971gb of free space i like the fact that a sd adapter came with it should i ever need to insert the card into my laptop it will come in handy yes i can plug my phone directly to my laptop but if i ever swap this 32gb card out of my phone and replace it with a 64gb version i can use this 32gb version via the adapter for other purposes,5.0
great capasitystill do not feel is very fast or is just my phone i guess i will need to remove it and run some rw tests still its ok,3.0
